2025-04-22 14:24:56,003 | MainThread   | [INFO    ] | init_uniform_distribution|: Initializing beliefs with a Uniform Distribution
2025-04-22 14:24:56,003 | MainThread   | [INFO    ] | init_uniform_distribution|: Uniform Belief with each cell value: 0.00051440329218107
2025-04-22 14:24:58,954 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:24:58,966 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 4, 9)
2025-04-22 14:24:58,966 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(5), np.int64(4), np.int64(9)) with prob = 0.9985028
2025-04-22 14:24:58,967 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.00051440329218107
2025-04-22 14:24:58,967 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.000, 0.000, 360.000)
2025-04-22 14:24:58,967 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.000, 0.000, 10.000)
2025-04-22 14:24:58,968 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.000, -0.000, 350.000)
2025-04-22 14:24:58,968 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:25:07,870 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:25:07,887 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (6, 3, 6)
2025-04-22 14:25:07,887 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(6), np.int64(2), np.int64(9)) with prob = 0.0891802
2025-04-22 14:25:07,888 | MainThread   | [INFO    ] | print_prediction_stats|: POS ERROR        : (-0.019, 0.520, -50.012)
2025-04-22 14:25:07,888 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:25:10,837 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:25:10,847 | MainThread   | [INFO    ] | print_update_stats  |: GT index      : (6, 3, 6)
2025-04-22 14:25:10,848 | MainThread   | [INFO    ] | print_update_stats  |: Bel index     : (np.int64(6), np.int64(3), np.int64(7)) with prob = 0.9586657
2025-04-22 14:25:10,848 | MainThread   | [INFO    ] | print_update_stats  |: Bel_bar prob at index = 0.00012299203401867074
2025-04-22 14:25:10,848 | MainThread   | [INFO    ] | print_update_stats  |: GT            : (0.286, -0.090, 319.988)
2025-04-22 14:25:10,849 | MainThread   | [INFO    ] | print_update_stats  |: Belief        : (0.305, -0.305, -30.000)
2025-04-22 14:25:10,849 | MainThread   | [INFO    ] | print_update_stats  |: POS ERROR     : (-0.019, 0.215, 349.988)
2025-04-22 14:25:10,850 | MainThread   | [INFO    ] | print_update_stats  |: ---------- UPDATE STATS -----------
2025-04-22 14:25:12,932 | MainThread   | [INFO    ] | print_prediction_stats|: ---------- PREDICTION STATS -----------
2025-04-22 14:25:12,948 | MainThread   | [INFO    ] | print_prediction_stats|: GT index         : (7, 2, 5)
2025-04-22 14:25:12,948 | MainThread   | [INFO    ] | print_prediction_stats|: Prior Bel index  : (np.int64(7), np.int64(1), np.int64(7)) with prob = 0.1271647
