2025-04-28 11:45:48,176 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:45:48,177 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:45:48,206 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:45:48,207 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:45:48,208 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:45:48,237 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:45:48,238 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:45:48,267 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:45:48,268 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:45:48,268 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:45:48,297 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:45:48,300 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:45:48,326 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:45:48,328 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:45:53,087 | MainThread   | [INFO    ] | perform_observation_loop|: Finished receiving data.
2025-04-28 11:45:53,088 | MainThread   | [INFO    ] | perform_observation_loop|: [[83017.0, -2.0, 0, 1099.0], [83939.0, 17.0, 0, 920.0], [85660.0, 37.0, 0, 2604.0], [90873.0, 57.0, 0, 504.0], [91422.0, 77.0, 0, 340.0], [93190.0, 97.0, 0, 313.0], [93918.0, 117.0, 0, 784.0], [96029.0, 137.0, 0, 1289.0], [97408.0, 157.0, 0, 737.0], [98417.0, 177.0, 0, 529.0], [99057.0, 198.0, 0, 460.0], [99777.0, 217.0, 0, 475.0], [100794.0, 237.0, 0, 524.0], [102975.0, 257.0, 0, 654.0], [104115.0, 277.0, 0, 558.0], [104989.0, 297.0, 0, 536.0], [105447.0, 317.0, 0, 570.0], [105943.0, 338.0, 0, 446.0], [106441.0, 357.0, 0, 517.0]]
2025-04-28 11:49:26,641 | MainThread   | [INFO    ] | perform_observation_loop|: Performing Observation Loop
2025-04-28 11:49:48,421 | MainThread   | [INFO    ] | notification_handler|: Done Notification Received
2025-04-28 11:49:48,499 | MainThread   | [INFO    ] | perform_observation_loop|: Collecting Data
2025-04-28 11:49:48,571 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
2025-04-28 11:49:48,572 | MainThread   | [INFO    ] | notification_handler|: Data Notification Received...processing
